state,fatalCrashes,nonFatalCrashes,totalCrashes,fatalInjuries,seriousInjuries,fatalCrashesWithReportedFatalInjuries,population,fatalCrashesPer100kResidents,nonFatalCrashesPer100kResidents,totalCrashesPer100kResidents
California,239,897,1136,380,203,239,39538223.0,0.6045,2.2687,2.8732
Texas,191,866,1057,320,252,191,29145505.0,0.6553,2.9713,3.6266
Florida,176,761,937,279,183,176,21538187.0,0.8172,3.5333,4.3504
Alaska,66,637,703,116,75,66,733391.0,8.9993,86.8568,95.8561
Arizona,74,389,463,124,83,74,7151502.0,1.0347,5.4394,6.4742
Washington,52,330,382,73,59,52,7705281.0,0.6749,4.2828,4.9576
Colorado,70,311,381,117,65,70,5773714.0,1.2124,5.3865,6.5989
Georgia,78,250,328,139,56,78,10711908.0,0.7282,2.3339,3.062
North Carolina,52,241,293,77,48,52,10439388.0,0.4981,2.3086,2.8067
Idaho,34,257,291,55,39,34,1839106.0,1.8487,13.9742,15.8229
Oregon,49,240,289,72,37,49,4237256.0,1.1564,5.664,6.8205
Pennsylvania,35,234,269,56,63,35,13002700.0,0.2692,1.7996,2.0688
New York,53,208,261,94,44,53,20201249.0,0.2624,1.0296,1.292
Ohio,43,210,253,66,30,43,11799448.0,0.3644,1.7797,2.1442
Michigan,44,199,243,65,55,44,10077331.0,0.4366,1.9747,2.4114
Illinois,34,200,234,57,40,34,12812508.0,0.2654,1.561,1.8263
Nevada,38,193,231,64,28,38,3104614.0,1.224,6.2166,7.4405
Wisconsin,39,192,231,68,46,39,5893718.0,0.6617,3.2577,3.9194
Utah,46,182,228,91,37,46,3271616.0,1.406,5.563,6.969
Missouri,41,182,223,65,43,41,6154913.0,0.6661,2.957,3.6231
Virginia,36,178,214,58,31,36,8631393.0,0.4171,2.0622,2.4793
Tennessee,44,162,206,71,45,44,6910840.0,0.6367,2.3441,2.9808
New Mexico,42,163,205,78,49,42,2117522.0,1.9835,7.6977,9.6811
Unknown,114,86,200,292,44,114,,,,
Minnesota,34,165,199,51,27,34,5706494.0,0.5958,2.8914,3.4873
Indiana,41,155,196,61,41,41,6785528.0,0.6042,2.2843,2.8885
Louisiana,48,139,187,77,29,48,4657757.0,1.0305,2.9843,4.0148
Arkansas,38,143,181,56,28,38,3011524.0,1.2618,4.7484,6.0102
Kansas,22,153,175,37,19,22,2937880.0,0.7488,5.2078,5.9567
Alabama,34,141,175,59,31,34,5024279.0,0.6767,2.8064,3.4831
Montana,27,146,173,41,40,27,1084225.0,2.4903,13.4658,15.9561
Oklahoma,34,132,166,49,31,34,3959353.0,0.8587,3.3339,4.1926
South Carolina,24,125,149,37,25,24,5118425.0,0.4689,2.4422,2.9111
New Jersey,22,120,142,27,26,22,9288994.0,0.2368,1.2919,1.5287
Iowa,27,105,132,39,19,27,3190369.0,0.8463,3.2912,4.1375
Maryland,13,113,126,25,12,13,6177224.0,0.2105,1.8293,2.0398
Wyoming,20,90,110,36,30,20,576851.0,3.4671,15.6019,19.069
Nebraska,24,86,110,36,21,24,1961504.0,1.2236,4.3844,5.6079
Mississippi,25,78,103,44,18,25,2961279.0,0.8442,2.634,3.4782
Kentucky,15,83,98,26,26,15,4505836.0,0.3329,1.8421,2.175
Massachusetts,15,74,89,27,17,15,7029917.0,0.2134,1.0526,1.266
South Dakota,16,59,75,31,11,16,886667.0,1.8045,6.6541,8.4586
Connecticut,13,58,71,28,23,13,3605944.0,0.3605,1.6085,1.969
Hawaii,11,59,70,35,22,11,1455271.0,0.7559,4.0542,4.8101
Maine,6,57,63,8,5,6,1362359.0,0.4404,4.1839,4.6243
North Dakota,12,50,62,16,13,12,779094.0,1.5403,6.4177,7.958
New Hampshire,7,49,56,9,12,7,1377529.0,0.5082,3.5571,4.0653
West Virginia,8,36,44,13,10,8,1793716.0,0.446,2.007,2.453
Vermont,5,37,42,7,6,5,643077.0,0.7775,5.7536,6.5311
Puerto Rico,7,24,31,9,7,7,3285874.0,0.213,0.7304,0.9434
Other Foreign,11,14,25,25,4,11,,,,
Delaware,4,15,19,5,4,4,989948.0,0.4041,1.5152,1.9193
Rhode Island,0,16,16,0,0,0,1097379.0,0.0,1.458,1.458
Atlantic Ocean,10,4,14,17,0,10,,,,
Pacific Ocean,3,5,8,3,4,3,,,,
Gulf of America,2,0,2,2,0,2,,,,
Caribbean Sea,1,0,1,4,0,1,,,,
